id_interaction,id_cp_interaction,multidata_1_id,multidata_2_id,source,annotation_strategy,is_ppi,curator,directionality,classification
280,CPI-SC0B6D1BF72,60,1818,CellChatDB_v1,user_curated,,NigelHo,,
281,CPI-SC06EFB9697,671,1818,CellChatDB_v1,user_curated,,NigelHo,,
282,CPI-SC027A5CF3D,957,1818,CellChatDB_v1,user_curated,,NigelHo,,
283,CPI-SC01CC760EE,898,1818,CellChatDB_v1,user_curated,,NigelHo,,
284,CPI-SC0F68FD442,69,1818,CellChatDB_v1,user_curated,,NigelHo,,
285,CPI-SC0908CF012,70,1818,CellChatDB_v1,user_curated,,NigelHo,,
286,CPI-SC04092E808,228,1820,CellChatDB_v1,user_curated,,NigelHo,,
287,CPI-SC025901B1A,953,1820,CellChatDB_v1,user_curated,,NigelHo,,
288,CPI-SC00D95D7B4,1751,1820,CellChatDB_v1,user_curated,,NigelHo,,
289,CPI-SC006391BC5,1022,1820,CellChatDB_v1,user_curated,,NigelHo,,
290,CPI-SC0E5131C5E,289,1820,CellChatDB_v1,user_curated,,NigelHo,,
291,CPI-SC0CC357E07,897,1820,CellChatDB_v1,user_curated,,NigelHo,,
292,CPI-SC02FACCE0B,668,1820,CellChatDB_v1,user_curated,,NigelHo,,
293,CPI-SC090434118,669,1820,CellChatDB_v1,user_curated,,NigelHo,,
294,CPI-SC08A288087,670,1820,CellChatDB_v1,user_curated,,NigelHo,,
295,CPI-SC02B89D65A,1061,1820,CellChatDB_v1,user_curated,,NigelHo,,
296,CPI-SC0F159BD5A,60,1820,CellChatDB_v1,user_curated,,NigelHo,,
297,CPI-SC0B4814E5F,671,1820,CellChatDB_v1,user_curated,,NigelHo,,
298,CPI-SC09A735D6F,957,1820,CellChatDB_v1,user_curated,,NigelHo,,
299,CPI-SC0A8070937,898,1820,CellChatDB_v1,user_curated,,NigelHo,,
300,CPI-SC09DD54D04,69,1820,CellChatDB_v1,user_curated,,NigelHo,,
301,CPI-SC0B7AFE8F9,70,1820,CellChatDB_v1,user_curated,,NigelHo,,
302,CPI-SC0DBDDA697,228,1803,CellChatDB_v1,user_curated,,NigelHo,,
303,CPI-SC0065F5B8A,953,1803,CellChatDB_v1,user_curated,,NigelHo,,
304,CPI-SC0ED454CDA,1751,1803,CellChatDB_v1,user_curated,,NigelHo,,
305,CPI-SC07B9CD502,1022,1803,CellChatDB_v1,user_curated,,NigelHo,,
306,CPI-SC041A30C3B,289,1803,CellChatDB_v1,user_curated,,NigelHo,,
307,CPI-SC04091DFF6,897,1803,CellChatDB_v1,user_curated,,NigelHo,,
308,CPI-SC02CD1EEDE,668,1803,CellChatDB_v1,user_curated,,NigelHo,,
