id_multidata,name,receptor,receptor_desc,other,other_desc,secreted_highlight,secreted_desc,transmembrane,secreted,peripheral,integrin,is_complex
1391,P07766,,,,,,,,,,,False
1392,P09693,,,,,,,,,,,False
1393,P01730,,,,,,,,,,,False
1394,Q07108,,,,,,,,,,,False
1395,P11912,,,,,,,,,,,False
1396,P40259,,,,,,,,,,,False
1397,P60033,,,,,,,,,,,False
1398,A6NJW9,,,,,,,,,,,False
1399,P21926,,,,,,,,,,,False
1400,Q8TCZ2,,,,,,,,,,,False
1401,Q9H5V8,,,,,,,,,,,False
1402,P55287,,,,,,,,,,,False
1403,P55289,,,,,,,,,,,False
1404,P55291,,,,,,,,,,,False
1405,P55283,,,,,,,,,,,False
1406,O75871,,,,,,,,,,,False
1407,O15335,,,,,,,,,,,False
1408,Q9GZZ6,,,,,,,,,,,False
1409,Q9UGM1,,,,,,,,,,,False
1410,O95832,,,,,,,,,,,False
1411,O75508,,,,,,,,,,,False
1412,P57739,,,,,,,,,,,False
1413,O15551,,,,,,,,,,,False
1414,Q9P126,,,,,,,,,,,False
1415,P0C7M8,,,,,,,,,,,False
1416,Q02246,,,,,,,,,,,False
1417,Q9UQ52,,,,,,,,,,,False
1418,P78357,,,,,,,,,,,False
1419,Q9UHC6,,,,,,,,,,,False
1420,P49747,,,,,,,,,,,False
1421,P14384,,,,,,,,,,,False
1422,O75462,,,,,,,,,,,False
1423,Q16619,,,,,,,,,,,False
1424,P13498,,,,,,,,,,,False
1425,P04839,,,,,,,,,,,False
1426,Q96JQ0,,,,,,,,,,,False
1427,P40126,,,,,,,,,,,False
1428,Q16832,,,,,,,,,,,False
1429,P78352,,,,,,,,,,,False
1430,Q13316,,,,,,,,,,,False
1431,P32926,,,,,,,,,,,False
1432,Q86SJ6,,,,,,,,,,,False
1433,Q9NZW4,,,,,,,,,,,False
1434,Q9NRD9,,,,,,,,,,,False
1435,Q1HG43,,,,,,,,,,,False
1436,Q92838,,,,,,,,,,,False
1437,Q9HAV5,,,,,,,,,,,False
1438,Q9UNE0,,,,,,,,,,,False
